"FLOW","Type of FDI","ECOACT","Industry","CUR","Currency","COU","Reporting country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IN","Inward","1495","MINING AND QUARRYING","USD","US Dollar","MEX","Mexico","2012","2012","USD","US Dollar","6","Millions",,,2689.946,,
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","SUB","Reported currency","MEX","Mexico","2003","2003","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","SUB","Reported currency","MEX","Mexico","2004","2004","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","SUB","Reported currency","MEX","Mexico","2005","2005","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","SUB","Reported currency","MEX","Mexico","2006","2006","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","SUB","Reported currency","MEX","Mexico","2007","2007","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","SUB","Reported currency","MEX","Mexico","2008","2008","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","SUB","Reported currency","MEX","Mexico","2009","2009","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","SUB","Reported currency","MEX","Mexico","2010","2010","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","SUB","Reported currency","MEX","Mexico","2011","2011","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","SUB","Reported currency","MEX","Mexico","2012","2012","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","USD","US Dollar","MEX","Mexico","2003","2003","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","USD","US Dollar","MEX","Mexico","2004","2004","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
"IN","Inward","1100","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","USD","US Dollar","MEX","Mexico","2005","2005","USD","US Dollar","6","Millions",,,0,"Z","Absolute zero observation"
